,angry,disgust,fear,happy,sad,surprise,neutral
angry,504,8,39,39,121,36,211
disgust,54,22,3,2,12,3,15
fear,171,5,258,44,196,105,245
happy,54,0,20,1505,27,32,136
sad,128,2,69,95,509,21,423
surprise,32,0,77,55,8,613,46
neutral,61,2,23,76,129,15,927
